Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game 178/200 | MCVS       (moves= 78) | MCVS wins:  53 | Draws:  15 | Zone DB size: 4,539 | ETA: 46.2 min
Game 179/200 | MCVS       (moves= 59) | MCVS wins:  54 | Draws:  15 | Zone DB size: 4,561 | ETA: 44.1 min
Game 180/200 | UCT        (moves= 53) | MCVS wins:  54 | Draws:  15 | Zone DB size: 4,577 | ETA: 41.9 min
Game 181/200 | Draw       (moves=150) | MCVS wins:  54 | Draws:  16 | Zone DB size: 4,621 | ETA: 40.0 min
Game 182/200 | UCT        (moves=139) | MCVS wins:  54 | Draws:  16 | Zone DB size: 4,661 | ETA: 38.0 min
Game 183/200 | UCT        (moves= 52) | MCVS wins:  54 | Draws:  16 | Zone DB size: 4,674 | ETA: 35.9 min
Game 184/200 | UCT        (moves= 39) | MCVS wins:  54 | Draws:  16 | Zone DB size: 4,689 | ETA: 33.7 min
Game 185/200 | MCVS       (moves= 55) | MCVS wins:  55 | Draws:  16 | Zone DB size: 4,705 | ETA: 31.5 min
Game 186/200 | UCT        (moves= 45) | MCVS wins:  55 | Draws:  16 | Zone DB size: 4,720 | ETA: 29.3 min
Game 187/200 | UCT        (moves= 94) | MCVS wins:  55 | Draws:  16 | Zone DB size: 4,738 | ETA: 27.3 min
Game 188/200 | MCVS       (moves= 80) | MCVS wins:  56 | Draws:  16 | Zone DB size: 4,761 | ETA: 25.2 min
Game 189/200 | UCT        (moves= 76) | MCVS wins:  56 | Draws:  16 | Zone DB size: 4,780 | ETA: 23.1 min
Game 190/200 | UCT        (moves= 49) | MCVS wins:  56 | Draws:  16 | Zone DB size: 4,794 | ETA: 20.9 min
Game 191/200 | UCT        (moves= 50) | MCVS wins:  56 | Draws:  16 | Zone DB size: 4,809 | ETA: 18.8 min
Game 192/200 | MCVS       (moves=138) | MCVS wins:  57 | Draws:  16 | Zone DB size: 4,865 | ETA: 16.8 min
Game 193/200 | UCT        (moves= 42) | MCVS wins:  57 | Draws:  16 | Zone DB size: 4,878 | ETA: 14.6 min
Game 194/200 | UCT        (moves= 57) | MCVS wins:  57 | Draws:  16 | Zone DB size: 4,897 | ETA: 12.5 min
Game 195/200 | UCT        (moves= 96) | MCVS wins:  57 | Draws:  16 | Zone DB size: 4,926 | ETA: 10.5 min
Game 196/200 | Draw       (moves=150) | MCVS wins:  57 | Draws:  17 | Zone DB size: 4,970 | ETA: 8.4 min
Game 197/200 | MCVS       (moves= 85) | MCVS wins:  58 | Draws:  17 | Zone DB size: 4,998 | ETA: 6.3 min
Game 198/200 | UCT        (moves= 97) | MCVS wins:  58 | Draws:  17 | Zone DB size: 5,023 | ETA: 4.2 min
Game 199/200 | UCT        (moves= 72) | MCVS wins:  58 | Draws:  17 | Zone DB size: 5,048 | ETA: 2.1 min
Game 200/200 | UCT        (moves= 45) | MCVS wins:  58 | Draws:  17 | Zone DB size: 5,061 | ETA: 0.0 min

================================================================================
DRAUGHTS ABLATION TOURNAMENT SUMMARY (ZONE GUIDANCE ONLY - NO NEURAL NETS)
================================================================================

MCVS (Zone-Guided PUCT): 58 wins
UCT (standard UCB): 125 wins
Draws: 17
Total: 200

MCVS Win Rate (excluding draws): 31.7%
Avg moves (MCVS wins): 79.8
Avg moves (UCT wins): 70.9

MCVS White: 23, Black: 35
UCT White: 55, Black: 70

Final Zone Database: 5,061 positions

================================================================================
Tournament Duration: 419.4 minutes
Avg time per game: 125.8s
================================================================================
